DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,PACK_SIZE,BRAND,LIFESTAGE,PREMIUM_CUSTOMER
2018-10-17,1,1000,1,5,Natural Chip        Compny SeaSalt175g,2,6.0,175,Natural,YOUNG SINGLES/COUPLES,Premium
2019-05-14,1,1307,348,66,CCs Nacho Cheese    175g,3,6.3,175,CCs,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,1,1343,383,61,Smiths Crinkle Cut  Chips Chicken 170g,2,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,2,2373,974,69,Smiths Chip Thinly  S/Cream&Onion 175g,5,15.0,175,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,2,2426,1038,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,3,13.8,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,4,4149,3333,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,4,4196,3539,24,Grain Waves         Sweet Chilli 210g,1,3.6,210,Grain,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,5,5026,4525,42,Doritos Corn Chip Mexican Jalapeno 150g,1,3.9,150,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,7,7150,6900,52,Grain Waves Sour    Cream&Chives 210G,2,7.2,210,Grain,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,7,7215,7176,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,8,8294,8221,114,Kettle Sensations   Siracha Lime 150g,5,23.0,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,9,9208,8634,15,Twisties Cheese     270g,2,9.2,270,Twisties,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,13,13213,12447,92,WW Crinkle Cut      Chicken 175g,1,1.7,175,Woolworths,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,19,19272,16686,44,Thins Chips Light&  Tangy 175g,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,20,20164,17136,54,CCs Original 175g,1,2.1,175,CCs,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,20,20418,17413,94,Burger Rings 220g,4,9.2,220,Burger,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,22,22411,18646,98,NCC Sour Cream &    Garden Chives 175g,1,3.0,175,Natural,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,22,22456,18696,93,Doritos Corn Chip Southern Chicken 150g,1,3.9,150,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,23,23067,19162,56,Cheezels Cheese Box 125g,1,2.1,125,Cheezels,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,25,25105,21815,7,Smiths Crinkle      Original 330g,1,5.7,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,33,33081,29949,98,NCC Sour Cream &    Garden Chives 175g,1,3.0,175,Natural,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,36,36012,32077,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,110,Infuzions,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,36,36302,33188,32,Kettle Sea Salt     And Vinegar 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,38,38142,34181,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,39,39167,35638,111,Smiths Chip Thinly  Cut Original 175g,2,6.0,175,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,41,41423,38393,46,Kettle Original 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-15,41,41486,38472,13,Red Rock Deli Thai  Chilli&Lime 150g,1,2.7,150,RRD,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,43,43110,39342,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,110,Infuzions,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,43,43147,39608,99,Pringles Sthrn FriedChicken 134g,1,3.7,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,43,43227,40186,26,Pringles Sweet&Spcy BBQ 134g,4,14.8,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,45,45220,41651,22,Thins Chips         Originl saltd 175g,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,51,51100,46802,48,Red Rock Deli Sp    Salt & Truffle 150G,1,2.7,150,RRD,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,51,51100,46803,37,Smiths Thinly       Swt Chli&S/Cream175G,1,3.0,175,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,51,51113,46828,36,Kettle Chilli 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,54,54226,48173,51,Doritos Mexicana    170g,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,54,54305,48301,44,Thins Chips Light&  Tangy 175g,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,55,55072,48878,107,Smiths Crinkle Cut  French OnionDip 150g,1,2.6,150,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,55,55072,48883,106,Natural ChipCo      Hony Soy Chckn175g,1,3.0,175,Natural,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,55,55073,48887,4,Dorito Corn Chp     Supreme 380g,1,3.25,380,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,55,55073,48887,113,Twisties Chicken270g,1,4.6,270,Twisties,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,55,55202,49690,45,Smiths Thinly Cut   Roast Chicken 175g,1,3.0,175,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,58,58324,54252,102,Kettle Mozzarella   Basil & Pesto 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,59,59344,56007,31,Infzns Crn Crnchers Tangy Gcamole 110g,1,3.8,110,Infuzions,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,60,60038,56304,104,Infuzions Thai SweetChili PotatoMix 110g,1,3.8,110,Infuzions,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,60,60162,56825,7,Smiths Crinkle      Original 330g,1,5.7,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,62,62177,58848,3,Kettle Sensations   Camembert & Fig 150g,1,4.6,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,63,63201,60709,82,Smith Crinkle Cut   Mac N Cheese 150g,1,2.6,150,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,67,67053,64137,88,Kettle Honey Soy    Chicken 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,71,71122,69717,40,Thins Chips Seasonedchicken 175g,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,71,71212,70337,73,Smiths Crinkle Cut  Salt & Vinegar 170g,2,5.8,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,72,72094,70995,7,Smiths Crinkle      Original 330g,1,5.7,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,72,72335,72083,87,Infuzions BBQ Rib   Prawn Crackers 110g,1,3.8,110,Infuzions,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,74,74336,73182,84,GrnWves Plus Btroot & Chilli Jam 180g,5,15.5,180,Grain,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,75,75091,73751,42,Doritos Corn Chip Mexican Jalapeno 150g,2,7.8,150,Doritos,MIDAGE SINGLES/COUPLES,Budget
2018-08-19,75,75186,74168,108,Kettle Tortilla ChpsHny&Jlpno Chili 150g,2,9.2,150,Kettle,MIDAGE SINGLES/COUPLES,Budget
2018-08-14,75,75309,74676,70,Tyrrells Crisps     Lightly Salted 165g,1,4.2,165,Tyrrells,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,80,80182,78978,32,Kettle Sea Salt     And Vinegar 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,81,81357,81315,89,Kettle Sweet Chilli And Sour Cream 175g,1,5.4,175,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,82,82114,81571,99,Pringles Sthrn FriedChicken 134g,2,7.4,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
2018-08-17,83,83008,82090,104,Infuzions Thai SweetChili PotatoMix 110g,2,7.6,110,Infuzions,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,83,83008,82099,63,Kettle 135g Swt Pot Sea Salt,2,8.4,135,Kettle,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,83,83062,82438,25,Pringles SourCream  Onion 134g,2,7.4,134,Pringles,MIDAGE SINGLES/COUPLES,Budget
